Faculty Name,County Name,Beginning Date Q1,Ending Date Q1,Type of Hospital,Teaching/Rural Hospital,Available Beds Q1,Staff Beds Q1,Total Outpatient Visits Q1,Total Gross Inpatient Revenue Q1,Total Patient (Census) Days,Total Gross Outpatient Revenue Q1,Total Deductions from Revenue Q1,Total Capitation Premium Revenue Q1,Total Net Patient Revenue Q1,Total Operating Expenses Q1,Expenses (Inpatient) Q1,Expenses (Outpatient) Q1,PPC Expenses Q1,Log Total Outpatient Visits Q1,Log Total Gross Inpatient Revenue Q1,Log Total Patient (Census) Days Q1,Log Total Gross Outpatient Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Capitation Premium Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Net Patient Revenue Q1,Log Total Operating Expenses Q1,Log Expenses (Inpatient) Q1,Log Expenses (Outpatient) Q1,Log PPC Expenses Q1,Beginning Date Q2,Ending Date Q2,Available Beds Q2,Staff Beds Q2,Total Outpatient Visits Q2,Total Gross Inpatient Revenue Q2,Total Patient (Census) Days Q2,Total Gross Outpatient Revenue Q2,Total Deductions from Revenue Q2,Total Capitation Premium Revenue Q2,Total Net Patient Revenue Q2,Total Operating Expenses Q2,Inpatient Expenses Q2,Outpatient Expenses Q2,PCC Expenses Q2,Log Total Outpatient Visits Q2,Log Total Gross Inpatient Revenue Q2,Log Total Patient (Census) Days Q2,Log Total Gross Outpatient Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Capitation Premium Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Net Patient Revenue Q2,Log Total Operating Expenses Q2,Log Expenses (Inpatient) Q2,Log Expenses (Outpatient) Q2,Log PPC Expenses Q2
DOMINICAN HOSPITAL,Santa Cruz,1/1/2024,3/31/2024,Comparable,N/A,222,176,36493,443105305,14627,228744506,547849015,253031,124253827,125472452,0,0,0,10.50490314,19.90931801,9.590692779,19.24811625,20.1285945,15.51714727,20.1285945,18.63783703,18.64759679,0,0,0,4/1/2024,6/30/2024,222,168,33422,425428583,13910,234646937,538410284,2450025,124115261,120372925,0,0,0,10.41699956,19.86860765,9.540435173,19.27359255,20.18489196,15.29134325,20.18489196,18.63672122,18.6061052,0,0,0
EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,127,61,3669,59999981,4324,21740062,69728292,752635,12764386,14510223,0,0,0,8.207946941,17.90985482,8.372167419,16.89466734,18.11447011,15.60435211,18.11447011,16.36216959,16.49036406,0,0,0,4/1/2024,6/30/2024,127,61,3253,66691090,4794,21958103,76415296,794083,13027980,14811084,0,0,0,8.087640288,18.01558193,8.475328987,16.90464683,18.61708315,14.81567726,18.61708315,16.38260999,16.51088644,0,0,0
EASTERN PLUMAS HEALTH CARE,Plumas,1/1/2024,3/31/2024,Comparable,Rural,75,75,9628,3672919,6012,8230017,5140416,0,6762520,10281209,0,0,906802,9.172534657,15.11649754,8.701679071,15.92329876,16.01664714,15.46989946,16.01664714,15.72690631,16.14582852,0,0,13.71768051,4/1/2024,6/30/2024,75,75,9829,3721696,6408,8949646,6925471,0,5745871,10647021,0,0,888175,9.193194213,15.12969031,8.765458532,16.00712465,17.77081964,14.47025573,17.77081964,15.56399224,16.18079079,0,0,13.6969252
EDEN MEDICAL CENTER,Alameda,1/1/2024,3/31/2024,Comparable,N/A,130,130,28610,234877956,11207,145588510,271329587,0,109136879,110065402,0,0,0,10.26154654,19.27457661,9.324383088,18.79629478,19.4330975,15.46989946,19.4330975,18.50811343,18.51658532,0,0,0,4/1/2024,6/30/2024,130,130,34393,229507366,10803,163474877,282322521,0,110659722,100063335,0,0,0,10.44563741,19.25144569,9.287671715,18.91216989,19.60733101,14.47025573,19.60733101,18.52197049,18.4213139,0,0,0
EISENHOWER MEDICAL CENTER,Riverside,1/1/2024,3/31/2024,Comparable,N/A,403,254,304179,669488478,22872,846432075,1199920162,0,316000391,329375779,0,0,0,12.62537491,20.32202451,10.03771245,20.55654052,20.90876154,15.46989946,20.90876154,19.57125401,19.61270985,0,0,0,4/1/2024,6/30/2024,403,212,292525,607650440,19081,861705505,1147845682,0,321510263,323207397,0,0,0,12.58630883,20.22511034,9.856500761,20.57442413,20.89984765,14.47025573,20.89984765,19.58854003,19.59380477,0,0,0
EL CAMINO HEALTH,Santa Clara,1/1/2024,3/31/2024,Comparable,N/A,466,466,58414,806725954,28109,763322112,1203915933,0,366132133,335827162,0,0,0,10.97532799,20.50849458,10.24388066,20.45319067,20.9120753,15.46989946,20.9120753,19.71850485,19.63210719,0,0,0,4/1/2024,6/30/2024,466,466,58119,803401587,26935,777857662,1228095733,0,353163516,315634645,0,0,0,10.97026512,20.50436526,10.20121896,20.47205411,20.96494226,14.47025573,20.96494226,19.68244173,19.57009592,0,0,0
EL CENTRO REGIONAL MEDICAL CENTER,Imperial,1/1/2024,3/31/2024,Comparable,N/A,161,161,56429,48106462,4220,128267155,137205035,0,39168582,40916787,0,0,0,10.94075621,17.68892709,8.347827346,18.6696258,18.76497868,15.46989946,18.76497868,17.48338553,17.527051,0,0,0,4/1/2024,6/30/2024,161,161,56333,47468138,4104,135282310,142262982,0,40487466,40602835,0,0,0,10.93905354,17.67556929,8.319961022,18.72287435,19.04955252,14.47025573,19.04955252,17.51650303,17.51934847,0,0,0
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,105,78,14444,105984784,7082,90419007,167110229,0,29293562,28781846,0,0,0,9.578103613,18.4788061,8.865452826,18.31996507,18.95720388,15.46989946,18.95720388,17.19287836,17.17525543,0,0,0,4/1/2024,6/30/2024,105,81,16227,114925093,7296,110432078,186082844,0,39274327,31189341,0,0,0,9.694493424,18.55979112,8.895218584,18.51991122,19.25952527,14.47025573,19.25952527,17.48608163,17.25558699,0,0,0
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,516,336,57368,413844809,28510,264872098,540057138,4620827,143280596,145500420,992751,3628076,4853698,10.95725937,19.84100161,10.25804526,19.39475762,20.11437156,16.10305409,20.11437156,18.78031548,18.79568954,13.80823616,15.10421331,15.39525165,4/1/2024,6/30/2024,516,331,58454,411319595,28073,275206629,541002142,5076293,150600375,151717191,1090604,3985689,5157511,10.97601251,19.83488108,10.24259916,19.43303276,20.18932255,15.7615557,20.18932255,18.83014037,18.83752877,13.90224315,15.198221,15.45596485
EMANUEL MEDICAL CENTER,Stanislaus,1/1/2024,3/31/2024,Comparable,N/A,209,105,30284,415103822,9206,697021937,1029122548,0,83003211,77223751,0,0,0,10.31840782,19.84403922,9.127719343,20.36232744,20.75574988,15.46989946,20.75574988,18.23438986,18.16221764,0,0,0,4/1/2024,6/30/2024,209,91,31003,406866809,7928,711053619,1027052639,0,90867789,75531446,0,0,0,10.34187151,19.82399644,8.978282203,20.3822584,20.79310808,14.47025573,20.79310808,18.32491615,18.14005964,0,0,0
ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,148,148,2149,60000504,5763,10765294,55588498,0,15177300,15829767,0,0,0,7.673223121,17.90986354,8.659386957,16.19183809,17.90120715,15.46989946,17.90120715,16.53531151,16.57740278,0,0,0,4/1/2024,6/30/2024,148,75,2113,53688831,5231,10487435,51069750,0,13106516,14286829,0,0,0,7.656337166,17.79871557,8.562548893,16.16568853,18.38356134,14.47025573,18.38356134,16.38862015,16.47484869,0,0,0
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,Kern,1/1/2024,3/31/2024,Comparable,N/A,86,70,0,18952067,6101,0,7277161,0,11674906,11813037,0,0,0,0,16.75742361,8.716371865,0,16.22892318,15.46989946,16.22892318,16.2729524,16.28471439,0,0,0,4/1/2024,6/30/2024,86,70,0,18053283,5861,0,6101390,0,11951893,10760441,0,0,0,0,16.70883817,8.676246121,0,17.75491034,14.47025573,17.75491034,16.29640032,16.19138719,0,0,0
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODESTO,Stanislaus,1/1/2024,3/31/2024,Comparable,N/A,50,42,0,11429487,3754,0,3430490,0,7998997,6642968,0,0,0,0,16.25170724,8.230843564,0,15.80685163,15.46989946,15.80685163,15.89482684,15.70906956,0,0,0,4/1/2024,6/30/2024,50,40,0,11125256,3621,0,4007180,0,7118076,6625192,0,0,0,0,16.22472849,8.194781638,0,17.71330356,14.47025573,17.71330356,15.77814816,15.70639006,0,0,0
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,Riverside,1/1/2024,3/31/2024,Comparable,N/A,50,45,0,11558511,3724,0,3766613,0,7791898,7332040,0,0,0,0,16.26293269,8.222822131,0,15.85171495,15.46989946,15.85171495,15.86859516,15.80776448,0,0,0,4/1/2024,6/30/2024,50,45,0,12134011,3941,0,4244791,0,7889220,6730218,0,0,0,0,16.31152298,8.279443488,0,17.7181123,14.47025573,17.7181123,15.88100796,15.72211824,0,0,0
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,Orange,1/1/2024,3/31/2024,Comparable,N/A,65,63,0,18350568,5728,0,7565566,0,10785002,9654635,0,0,0,0,16.72517114,8.653296274,0,16.25441053,15.46989946,16.25441053,16.19366712,16.08294877,0,0,0,4/1/2024,6/30/2024,65,63,0,18420567,5698,0,7508444,0,10912123,8589843,0,0,0,0,16.72897842,8.648046,0,17.7819233,14.47025573,17.7819233,16.20538502,15.96609113,0,0,0
ENLOE HEALTH,Butte,1/1/2024,3/31/2024,Comparable,N/A,317,243,104000,560223421,21567,629843548,952527536,0,237539433,233418541,0,0,0,11.55215579,20.14384623,9.978966014,20.26098201,20.67871021,15.46989946,20.67871021,19.28584421,19.26834372,0,0,0,4/1/2024,6/30/2024,317,232,115693,570235527,20609,697231479,992735487,0,274731519,251720997,0,0,0,11.65870405,20.16156004,9.933531674,20.36262802,20.76058267,14.47025573,20.76058267,19.43130489,19.34383188,0,0,0
EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,Fresno,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,1009917,1429,0,138227,0,871690,1456920,0,0,0,0,13.8253797,7.265429723,0,15.21004289,15.46989946,15.21004289,13.67819028,14.19183586,0,0,0,4/1/2024,6/30/2024,16,16,0,1023344,1448,0,140064,0,883280,1663302,0,0,0,0,13.83858723,7.278628942,0,17.63160448,14.47025573,17.63160448,13.69139866,14.32431594,0,0,0
EXODUS RECOVERY - PHF,Los Angeles,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,1009917,1429,0,138227,0,871690,1456920,0,0,0,0,13.8253797,7.265429723,0,15.21004289,15.46989946,15.21004289,13.67819028,14.19183586,0,0,0,4/1/2024,6/30/2024,16,16,0,2026610,1420,0,0,0,2026610,1532810,0,0,0,0,14.5218755,7.259116128,0,17.6285164,14.47025573,17.6285164,14.5218755,14.24261386,0,0,0
FAIRCHILD MEDICAL CENTER,Siskiyou,1/1/2024,3/31/2024,Comparable,Rural,25,25,31138,17355998,1112,52334467,40430320,0,29260145,32411904,0,0,0,10.34621633,16.66944877,7.014814351,17.77316576,17.60706349,15.46989946,17.60706349,17.19173694,17.29403635,0,0,0,4/1/2024,6/30/2024,25,25,43775,18545394,1304,53797371,44215720,0,28127045,28527512,0,0,0,10.686841,16.73573207,7.17395832,17.80073518,18.3097724,14.47025573,18.3097724,17.15224216,17.16637955,0,0,0
FOOTHILL REGIONAL MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,147,64,1789,121907542,5762,19930697,114959599,28154956,55033596,49422286,0,0,0,7.489970899,18.61877347,8.659213451,16.80777171,18.59341028,17.32361243,18.59341028,17.82345441,17.71591203,0,0,0,4/1/2024,6/30/2024,147,70,1734,124661914,6291,18200719,114271225,26059323,54650731,48304418,0,0,0,7.458762692,18.64111595,8.747034264,16.71697171,18.88791544,17.14714258,18.88791544,17.81647317,17.69303361,0,0,0
FREMONT HOSPITAL,Alameda,1/1/2024,3/31/2024,Comparable,N/A,148,148,2259,31978000,11472,1736495,12645046,0,21069449,14224889,0,0,1309567,7.723120092,17.28055876,9.347751728,14.36737985,16.62128662,15.46989946,16.62128662,16.86333468,16.47050381,0,0,14.08520787,4/1/2024,6/30/2024,148,148,2500,32323200,11544,1924605,12682521,0,21565284,14032884,0,0,1291114,7.824445931,17.29129583,9.354007722,14.47023183,17.87541686,14.47025573,17.87541686,16.8865954,16.45691406,0,0,14.07101674
FRENCH HOSPITAL MEDICAL CENTER - SAN LUIS OBISPO,San Luis Obispo,1/1/2024,3/31/2024,Comparable,N/A,72,59,38085,134570867,4957,134766377,216532270,6716771,59521745,56491165,0,0,0,10.54760204,18.71760152,8.508757713,18.7190533,19.21107773,16.2959618,19.21107773,17.90185228,17.84959483,0,0,0,4/1/2024,6/30/2024,72,58,39180,132332438,4833,139796165,214879800,6638412,63887215,54560056,0,0,0,10.57594721,18.70082779,8.483429561,18.75569596,19.37683105,15.96296863,19.37683105,17.97262984,17.81481262,0,0,0
FRESNO SURGICAL HOSPITAL,Fresno,1/1/2024,3/31/2024,Comparable,N/A,27,27,3809,17251400,444,69601880,58908821,0,27944459,22486570,0,0,0,8.245384468,16.66340392,6.098074282,18.05830215,17.95552426,15.46989946,17.95552426,17.14572953,16.92842884,0,0,0,4/1/2024,6/30/2024,27,27,3637,16190270,442,70892782,58556740,0,28526312,24524031,0,0,0,8.199189359,16.59992106,6.09356977,18.0766792,18.45839164,14.47025573,18.45839164,17.16633748,17.01516409,0,0,0
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,167,167,5199,43982787,3269,22385135,50790757,0,15577165,18509496,0,0,0,8.556413905,17.59930893,8.092545264,16.92390773,17.81711131,15.46989946,17.81711131,16.56131668,16.73379451,0,0,0,4/1/2024,6/30/2024,167,167,5227,46049232,3394,21976994,50261321,0,17764905,17847817,0,0,0,8.561784075,17.64522166,8.13005904,16.90550678,18.37513594,14.47025573,18.37513594,16.6927355,16.69739182,0,0,0
GARFIELD MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,210,210,6964,308342237,11846,116752942,381679725,33585306,77000760,79463213,0,0,0,8.848652886,19.54672089,9.37982995,18.57557066,19.77024521,17.4743222,19.77024521,18.15932586,18.19080476,0,0,0,4/1/2024,6/30/2024,210,210,7062,304046087,11493,124952072,378688969,17560045,67869235,69805393,0,0,0,8.862625169,19.53268985,9.349580439,18.64344081,19.86518582,16.78513995,19.86518582,18.03309341,18.06122184,0,0,0
GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,55,55,23306,5415554,3990,7670802,988569,0,12097787,11896234,0,0,222173,10.05650902,15.50478593,8.291797105,15.85293186,15.4013584,15.46989946,15.4013584,16.30853318,16.29173252,0,0,12.31121614,4/1/2024,6/30/2024,55,55,29748,4697508,3250,7699170,1374937,0,11021741,12932349,0,0,189498,10.3005508,15.36254293,8.08671792,15.85662322,17.65842558,14.47025573,17.65842558,16.21538043,16.37524248,0,0,12.15213903
GEORGE L. MEE MEMORIAL HOSPITAL,Monterey,1/1/2024,3/31/2024,Comparable,Rural,73,73,34312,8340128,3216,47232178,37308675,0,18263631,18234956,0,0,0,10.44327957,15.93658924,8.076204527,17.67058598,17.53403464,15.46989946,17.53403464,16.72042232,16.71885102,0,0,0,4/1/2024,6/30/2024,73,73,32322,8321224,3376,50075517,38591694,0,19805047,17683809,0,0,0,10.38353433,15.93432004,8.12474302,17.72904278,18.24487454,14.47025573,18.24487454,16.80144741,16.68816009,0,0,0
GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,227,148,16441,227145787,12320,113421739,277156580,3954295,67365241,82167471,0,0,0,9.707594316,19.24110261,9.419060403,18.54662364,19.45404827,16.03299278,19.45404827,18.02563975,18.22427006,0,0,0,4/1/2024,6/30/2024,227,144,17271,227623827,11986,123709149,286464092,4090967,68959851,82293209,0,0,0,9.756841972,19.24320495,9.391578008,18.6334438,19.61989359,15.60986981,19.61989359,18.04903504,18.22579916,0,0,0
GLENDORA HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,63,63,878,11363478,5504,563530,5771898,0,6155110,5130817,0,0,0,6.778784898,16.24591517,8.613412049,13.24197762,16.08420365,15.46989946,16.08420365,15.63279335,15.45077566,0,0,0,4/1/2024,6/30/2024,63,63,1002,11579028,5595,694860,5985098,0,6288790,5291940,0,0,0,6.910750788,16.26470618,8.629807336,13.4514671,17.75264474,14.47025573,17.75264474,15.6542794,15.48169566,0,0,0
GLENN MEDICAL CENTER,Glenn,1/1/2024,3/31/2024,Comparable,Rural,25,25,9101,6536949,1687,8058019,7506183,0,7088785,8099921,0,0,0,9.116249449,15.69298125,7.431299675,15.90217843,16.24921549,15.46989946,16.24921549,15.77402466,15.90736499,0,0,0,4/1/2024,6/30/2024,25,25,10888,6202077,1777,8616738,6685253,0,8133562,8475929,0,0,0,9.295508384,15.64039496,7.483244416,15.96921726,17.76620819,14.47025573,17.76620819,15.91150964,15.95274094,0,0,0
GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,1/1/2024,3/31/2024,Comparable,N/A,24,11,17056,24676136,882,74033377,65928538,0,32780975,25530908,0,0,896278,9.744315956,17.02134722,6.783325201,18.1200266,18.06147974,15.46989946,18.06147974,17.30535891,17.05540039,0,0,13.70600703,4/1/2024,6/30/2024,24,8,18033,21342883,646,77503272,63286777,0,35559378,25319206,0,0,1066835,9.800014144,16.87622894,6.472346295,18.16583073,18.50293456,14.47025573,18.50293456,17.38671451,17.04707384,0,0,13.88020782
GOOD SAMARITAN HOSPITAL - BAKERSFIELD,Kern,1/1/2024,3/31/2024,Comparable,N/A,64,55,12099,24096864,2877,3860920,16859729,0,11098055,10978728,0,0,0,9.400960732,16.99759231,7.964850887,15.16641631,16.84827798,15.46989946,16.84827798,16.22228052,16.21147023,0,0,0,4/1/2024,6/30/2024,64,55,12002,24132428,3805,4340415,15089744,0,13383099,10562210,0,0,0,9.392911898,16.9990671,8.244334048,15.28348075,17.91610392,14.47025573,17.91610392,16.40950327,16.17279319,0,0,0
GOOD SAMARITAN HOSPITAL - LA,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,359,168,17167,294279793,14711,150843453,360474444,9666961,94315763,101463248,0,0,0,9.750802465,19.50004155,9.596418766,18.83175313,19.71367849,16.51665994,19.71367849,18.3621589,18.43520721,0,0,0,4/1/2024,6/30/2024,359,160,17702,282148243,14273,153150752,362926367,-782643,71589985,86461806,0,0,0,9.781489396,19.45794318,9.56619498,18.84693331,19.82729898,13.94829955,19.82729898,18.08646576,18.27521334,0,0,0
GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,1/1/2024,3/31/2024,Comparable,N/A,338,336,33802,1091928157,20647,660064189,1585809274,0,166183072,145554740,0,0,5865659,10.42830483,20.81121092,9.935373741,20.30784765,21.18681376,15.46989946,21.18681376,18.92860059,18.7960628,0,0,15.58462557,4/1/2024,6/30/2024,338,336,34768,1156652599,20374,712766589,1686729201,0,182689987,155085822,0,0,7343854,10.45648146,20.86879598,9.922063938,20.38466456,21.27255163,14.47025573,21.27255163,19.02330122,18.85948922,0,0,15.80937447
GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,117,117,6072,47996684,4007,28834778,65253668,1793179,13370973,15459533,0,0,0,8.711607996,17.6866425,8.296047643,17.17709282,18.05176734,15.76470986,18.05176734,16.4085968,16.55373646,0,0,0,4/1/2024,6/30/2024,117,117,6242,50267331,4029,31941426,68195117,1741743,15755383,17271105,0,0,0,8.739216115,17.73286596,8.301521655,17.27941438,18.54715017,15.11471945,18.54715017,16.57269271,16.66454549,0,0,0
HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,1/1/2024,3/31/2024,Comparable,Rural,136,112,40121,30323972,9412,82194771,75905480,0,36613263,36195314,0,0,3525085,10.59968009,17.22744915,9.149846992,18.22460226,18.19503834,15.46989946,18.19503834,17.41592114,17.40444025,0,0,15.07541539,4/1/2024,6/30/2024,136,103,41119,29550269,8704,84300841,74417992,0,39433118,37066056,0,0,3781781,10.6242499,17.20160344,9.071652852,18.24990241,18.60053551,14.47025573,18.60053551,17.4901166,17.4282122,0,0,15.14570589
HEALDSBURG HOSPITAL,Sonoma,1/1/2024,3/31/2024,Comparable,Rural,35,25,7521,12520541,2079,31358003,25188362,0,18690182,18627975,0,0,0,8.925587339,16.34288121,7.640123173,17.2609801,17.18567204,15.46989946,17.18567204,16.74350897,16.74017509,0,0,0,4/1/2024,6/30/2024,35,25,8451,11801665,2045,36095923,30288387,0,17609201,17609273,0,0,1057682,9.042158379,16.28375127,7.623641947,17.40169051,18.14063272,14.47025573,18.14063272,16.68393216,16.68393625,0,0,13.87159122
HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,Orange,1/1/2024,3/31/2024,Comparable,N/A,27,27,1105,12516538,1976,604495,10298618,0,2822415,3484113,0,0,0,7.008505182,16.34256145,7.589335823,13.31215033,16.46829319,15.46989946,16.46829319,14.85310381,15.06372434,0,0,0,4/1/2024,6/30/2024,27,27,1108,11448262,1898,618560,9174867,0,2891955,3599549,0,0,0,7.011213987,16.25334857,7.549082711,13.33515109,17.81299954,14.47025573,17.81299954,14.87744365,15.0963194,0,0,0
HEMET GLOBAL MEDICAL CENTER,Riverside,1/1/2024,3/31/2024,Comparable,N/A,309,309,14065,128788267,10633,64079995,157714777,0,35153485,33731562,0,0,740992,9.551515817,18.67368028,9.271811694,17.9756428,18.90069434,15.46989946,18.90069434,17.37523435,17.33394454,0,0,13.51574646,4/1/2024,6/30/2024,309,309,14895,128161394,10718,69209436,154423107,0,42947723,45631006,0,0,956650,9.608848,18.66880093,9.279773147,18.05264778,19.11237419,14.47025573,19.11237419,17.57549421,17.63609802,0,0,13.77119392
HENRY MAYO NEWHALL HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,291,291,33019,393825355,16994,295375623,585245463,0,103955515,105024387,0,0,0,10.40486872,19.79141811,9.740674462,19.50375841,20.19417495,15.46989946,20.19417495,18.45947363,18.46970315,0,0,0,4/1/2024,6/30/2024,291,291,33698,382065156,16890,304783713,580363076,0,106485793,104961081,0,0,0,10.42522344,19.76110172,9.734536215,19.53511295,20.25430076,14.47025573,20.25430076,18.48352214,18.46910019,0,0,0
HERITAGE OAKS ENRICHMENT CENTER - PHF,Sacramento,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,12,0,2030000,1015,0,900720,0,1129280,1477417,0,0,232610,0,14.52354684,6.923628628,0,15.38320543,15.46989946,15.38320543,13.9370917,14.20580653,0,0,12.35712281,4/1/2024,6/30/2024,16,15,0,2604000,1302,0,1130984,0,1473016,1515080,0,0,265961,0,14.77255967,7.172424577,0,17.6531837,14.47025573,17.6531837,14.20282324,14.23097946,0,0,12.49110872
HERITAGE OAKS HOSPITAL,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,125,125,4395,21646000,10641,5376113,11527453,0,15494660,11492503,0,0,1222909,8.388450316,16.89033128,9.272563715,15.49747637,16.55132598,15.46989946,16.55132598,16.55600607,16.25720555,0,0,14.01674382,4/1/2024,6/30/2024,125,125,4495,21882500,10735,5515571,12424737,0,14973334,11682637,0,0,1213035,8.410943392,16.90119783,9.281357859,15.52308592,17.87096,14.47025573,17.87096,16.52178151,16.27361437,0,0,14.00863687
HI-DESERT MEDICAL CENTER,San Bernardino,1/1/2024,3/31/2024,Comparable,Rural,132,116,11316,71255667,10447,80486136,128743423,0,22998380,21673456,0,0,0,9.334061299,18.08178492,9.254165852,18.20359552,18.70313631,15.46989946,18.70313631,16.95093438,16.89159889,0,0,0,4/1/2024,6/30/2024,132,113,11463,61842110,10164,80253710,118179897,0,23915923,21700805,0,0,0,9.34696697,17.9400951,9.226705726,18.20070356,18.91211714,14.47025573,18.91211714,16.99005507,16.89285996,0,0,0
HIGHLAND HOSPITAL,Alameda,1/1/2024,3/31/2024,Comparable,N/A,438,438,65541,500658460,26567,323763420,637539819,24367692,211249753,339580841,0,0,0,11.09044644,20.03143471,10.18746276,19.59552362,20.27921791,17.20320299,20.27921791,19.16855166,19.6432226,0,0,0,4/1/2024,6/30/2024,438,438,65157,493891653,25813,346054785,642634271,3582101,200894268,332912064,0,0,0,11.08457037,20.01782673,10.15867226,19.66210766,20.34918402,15.52148572,20.34918402,19.1182893,19.62338894,0,0,0
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,1/1/2024,3/31/2024,Comparable,N/A,536,462,169880,669438648,37763,877694570,1160446168,31933035,418620085,436596315,0,0,0,12.04285347,20.32195008,10.53911155,20.59280922,20.87542112,17.43082199,20.87542112,19.85247435,19.89451956,0,0,0,4/1/2024,6/30/2024,536,450,184803,656033597,37238,926498916,1189772097,33273830,426034246,444383942,0,0,0,12.12705108,20.30172256,10.52511188,20.64692343,20.93438414,17.37651351,20.93438414,19.87003029,19.91219948,0,0,0
HOAG ORTHOPEDIC INSTITUTE,Orange,1/1/2024,3/31/2024,Comparable,N/A,70,12,1102,66288666,1028,77356745,104787938,0,38857473,28616468,0,0,0,7.005789019,18.00952951,6.936342736,18.16393835,18.5039441,15.46989946,18.5039441,17.475411,17.16949295,0,0,0,4/1/2024,6/30/2024,70,13,950,61554651,1047,69997514,94078691,0,37473474,27969541,0,0,0,6.857514063,17.93543599,6.954638865,18.0639703,18.7526073,14.47025573,18.7526073,17.43914391,17.14662669,0,0,0
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,413,256,14627,273106236,23054,117898589,305068421,32827703,118764107,120777481,0,0,0,9.590692779,19.42537142,10.04563794,18.58533541,19.548733,17.45461099,19.548733,18.5926498,18.60946042,0,0,0,4/1/2024,6/30/2024,413,260,15243,268182003,23411,115609883,291105709,38760283,131446460,128911419,0,0,0,9.631941262,19.40717643,10.06100399,18.56573201,19.6337879,17.52136843,19.6337879,18.69411019,18.67463606,0,0,0
HUNTINGTON BEACH HOSPITAL,Orange,1/1/2024,3/31/2024,Comparable,N/A,131,131,5168,46299491,5464,14436396,44491223,0,16244664,18159801,0,0,0,8.550434525,17.65064155,8.606119401,16.48526315,17.69472281,15.46989946,17.69472281,16.60327511,16.71472103,0,0,0,4/1/2024,6/30/2024,131,131,5212,44858990,5784,14907161,43540038,0,16226113,18103606,0,0,0,8.558910785,17.61903459,8.66302364,16.51735233,18.30219442,14.47025573,18.30219442,16.60213248,16.71162176,0,0,0
HUNTINGTON HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,510,379,47410,825391639,32811,339942186,973670913,0,191662912,206158506,0,0,0,10.76660955,20.53136855,10.39854958,19.64428612,20.70057614,15.46989946,20.70057614,19.07124873,19.14415588,0,0,0,4/1/2024,6/30/2024,512,366,49696,814989056,31717,339953428,964325018,0,190617466,210040640,0,0,0,10.81369985,20.51868524,10.36463962,19.64431919,20.73283132,14.47025573,20.73283132,19.06577919,19.1628116,0,0,0
JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,1/1/2024,3/31/2024,Comparable,Rural,17,17,3875,838235,859,6109702,3887318,0,3060619,8503779,0,0,0,8.262558973,13.63905496,6.756932389,15.62538872,15.86734693,15.46989946,15.86734693,14.93412807,15.95602133,0,0,0,4/1/2024,6/30/2024,17,17,3875,796144,848,6550909,2066161,0,5280892,7792120,0,0,0,8.262558973,13.58753661,6.744059186,15.69511453,17.67313058,14.47025573,17.67313058,15.47960577,15.86862365,0,0,0
